kepid,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_time0bk
11657614,K03370.01,CANDIDATE,24.352541,2.782,349.1,147.1949
11657614,K03370.02,CONFIRMED,5.94228603,2.169,250.0,133.804
5687986,K07735.01,CANDIDATE,382.30306,8.83,225.6,356.7308
11125797,K03371.01,CANDIDATE,58.1263775,4.018,271.5,163.11687
9785921,K03372.01,CONFIRMED,26.7575866,5.858,455.3,137.28717
3102000,K03373.01,FALSE POSITIVE,57.0599992,7.463,66168.0,164.25706
6599975,K03438.01,CONFIRMED,14.5565618,4.554,103.8,141.03671
8266276,K01731.02,FALSE POSITIVE,0.837898153,2.104,268.9,131.98187
5887316,K07747.01,FALSE POSITIVE,0.603086711,1.0869,1242.8,131.664075
4282191,K03439.01,CONFIRMED,41.7084063,8.567,330.0,153.53793
3559860,K03440.01,CONFIRMED,33.0257179,6.032,507.1,161.01
10651945,K03441.01,FALSE POSITIVE,25.366990665,5.9556,150581.0,138.8144224
7117003,K03514.01,FALSE POSITIVE,428.32173928,40.5992,316995.0,276.530352
3240159,K03515.01,FALSE POSITIVE,82.137609997,6.11904,210772.0,196.1225133
6147851,K07766.01,FALSE POSITIVE,3.06026014,2.545,59.9,132.762
9658118,K03516.01,FALSE POSITIVE,24.0612744,19.9438,440146.0,138.38747
7132542,K03517.01,FALSE POSITIVE,66.36099916,20.0614,416737.0,168.379642
8589754,K03518.01,FALSE POSITIVE,8.939461148,6.19136,357832.0,133.013944
3757590,K03520.01,FALSE POSITIVE,135.58607679,5.54241,363134.0,177.9285627
2437149,K03598.01,FALSE POSITIVE,18.79862195,7.4782,380204.0,138.028268
9715925,K03599.01,FALSE POSITIVE,6.30828538,2.48633,113526.0,134.379945
9529733,K03600.01,FALSE POSITIVE,4.80912667,7.9331,134093.0,134.07939
9613070,K03601.01,FALSE POSITIVE,2.33211505,2.96723,105949.0,132.19683
9967771,K01875.02,CONFIRMED,0.53835407,1.5045,190.2,131.64999
10845188,K03602.01,FALSE POSITIVE,249.36211832,8.3559,35830.4,279.658296
6543893,K01627.03,CANDIDATE,3.80675878,2.092,231.9,133.7492
5709103,K07736.01,FALSE POSITIVE,0.664727127,1.561,16.2,131.63516
6705026,K03374.01,CONFIRMED,9.5084871,4.372,97.9,140.5602
6705026,K03374.02,CANDIDATE,34.1086562,6.405,133.8,158.431
6779726,K03375.01,CONFIRMED,47.0563327,4.807,762.0,173.9653
3098843,K03376.02,FALSE POSITIVE,179.85022331,2.95,,225.3762426
5553959,K03377.01,CANDIDATE,10.0100312,1.35,375.8,131.61434
7288306,K03443.01,CONFIRMED,96.169569,7.496,894.5,170.2581
5887393,K07748.01,FALSE POSITIVE,1.55090374,3.028,11.3,131.61966
5384713,K03444.01,CANDIDATE,12.67143692,2.498,215.8,137.50707
5384713,K03444.02,CANDIDATE,60.32668824,1.6864,3146.7,145.057472
5384713,K03444.03,CANDIDATE,2.63595435,1.309,93.7,132.31984
11860395,K03445.01,CONFIRMED,82.303914,15.404,737.0,159.0461
5456023,K03521.01,FALSE POSITIVE,131.97827736,7.14981,345935.0,179.588119
6187888,K07768.01,FALSE POSITIVE,0.789171236,1.734,73.4,132.12333
9529744,K01806.02,CONFIRMED,17.9346606,6.25,142.7,138.21679
12021387,K03522.01,FALSE POSITIVE,241.07074582,9.88863,70291.7,223.9933126
