kepid,period
5213466,2.819311
5215700,1.312402
5215999,2.531158
5216727,1.513023
5217586,26.06881
5217733,161.252379
5217781,564.407385
5218014,10.845293
5218385,0.281537
5218441,3.613755
5255552,32.448635
5259926,0.43781
5263802,6.700506
5264304,120.58
5264818,1.90505
5266937,5.917086
5269407,0.958871
5282049,5.910377
5282464,0.496399
5283266,0.314649
5283839,0.315231
5284133,8.784576
5284262,17.963312
5285607,3.899401
5286221,15.295983
5286786,9.948746
5287983,2.507105
5288543,3.457076
5290305,0.620509
5294739,3.735995
5296276,1.892003
5296877,0.377265
5297298,34.193606
5300878,1.279443
5302006,0.151171
5306720,27.364524
5306862,2.025638
5307780,0.308851
5308778,40.5655
5309353,1.37638
5310387,0.441669
5310435,4.931364
5343976,4.331392
5347537,345.184222
5347784,9.584059
5353374,0.393321
5353653,0.368557
5356593,45.977868
5357682,0.717706
5357882,0.387402
5358200,0.535948
5359678,6.23061
5369419,0.43768
5369827,3.606928
5370302,3.904327
5371109,1.191862
5372966,9.286357
5374883,0.419717
5374999,0.45788
5376552,0.503819
5376836,3.479425
5377349,1.116766
5384713,60.326804
5384802,6.083093
5385723,12.444926
5386810,0.888891
5389616,0.406884
5390351,0.547454
5392897,42.399299
5393558,10.217103
5394544,0.431974
5396122,15.444304
5398002,14.153175
5425950,0.378168
5428668,1.406701
5435816,181.851909
5439790,0.796086
5440746,0.482654
5444392,1.519528
5450322,0.424019
5450814,6.487533
5456023,131.978307
5458880,3.511689
5459373,0.286609
5460835,21.539274
5461570,0.507661
5462901,5.270726
5468295,0.352012
5471619,0.962835
5473556,11.258824
5474733,0.883775
5475624,1.069843
5475712,2.991885
5477805,5.00671
5478466,0.482501
5479973,1.795273
5481426,4.768103
5511076,6.513199
5513861,1.510212
5524325,0.624979
5527172,3.183967
5529643,0.759766
5530881,5.082522
5534702,1.025466
5534814,9.718775
5534965,243.821244
5535061,0.46343
5535280,74.985301
5543482,0.294828
5546761,17.670652
5553624,25.762071
5553652,24.328232
5557368,0.297931
5560831,0.867721
5563300,71.054766
5563814,0.308234
5565486,2.825047
5567438,0.58454
5596440,10.474857
5597970,6.717384
5598639,1.297551
5606644,0.861931
5608566,4.396997
5610698,4.132528
5611561,0.258695
5611763,0.361605
5615528,0.339175
5615815,0.67425
5617953,0.298696
5620981,0.333516
5621294,0.938905
5622250,16.294214
5623774,1.13363
5623923,1.20875
5629353,33.325
5630212,47.584765
5632781,11.025202
5636642,0.9335
5640750,987.3
5642620,0.986791
5643492,41.865472
5647008,0.799862
5648449,4.348864
5649206,4.893474
5649325,391.1
5649956,2.41574
5652260,8.92926
5652983,498.374739
5653126,38.496882
5685072,0.255905
5696909,0.643003
5699617,0.288917
5700330,53.220414
5702939,18.398201
5703230,0.731474
5707897,8.416091
5716244,1.330333
5716763,0.640661
5728139,10.668165
5728283,6.198279
5730394,5.519178
5731312,7.946382
5733154,62.519903
5733384,1.546709
5735878,16.832082
5736461,7.346164
5736537,1.761529
5737474,0.397942
5738506,9.501479
5738698,4.808774
5768927,4.390512
5770431,0.392437
5770860,0.737562
5771589,10.739142
5771719,12.264877
5771961,26.066437
5773205,0.266871
5774375,1.549977
5779852,504.15592
5781192,9.459993
5783368,1.863873
5783676,0.401445
5785551,0.266688
5785586,0.459621
5786154,197.920781
5786545,0.280575
5790807,79.996246
5790912,0.383317
5791886,0.32517
5792093,0.600588
5795648,4.553369
5796185,42.559235
5796675,16.080676
5801571,1.677194
5802285,2.41705
5802470,3.791873
5802486,2.14784
5802834,1.092443
5807579,17.844325
5809827,1.22211
5809868,0.43939
5816806,4.455436
5817566,8.412198
5818706,14.959941
5820209,0.656087
5821050,1.933369
5823121,2.298001
5858519,4.1825
5866099,36.976706
5866104,36.976
5866138,342.3
5871918,12.643297
5872150,20.355103
5872506,2.126088
5872696,0.172613
5876360,1.050844
5876805,18.173036
5877364,89.648538
5878081,0.591134
5878836,0.354879
5880320,12.109639
5881838,0.300331
5887316,0.603081
5891963,0.28196
5897826,33.804203
5903301,2.32033
5942093,14.387308
5944240,2.553222
5951553,0.431971
5952403,0.905678
5955321,11.637882
5955731,1.00383
5956588,0.272907
5956776,0.569115
5957123,2.822975
5960283,0.249668
5960989,50.721534
5961327,0.299202
5961350,5.262668
5962514,1.580099
5962716,1.804608
5965819,8.240055
5966237,0.397583
5975712,1.136093
5977736,1.57913
5978521,0.608151
5979863,16.621854
5980800,0.414163
5982353,19.563095
5983348,25.150784
5983351,0.321185
5983532,147.288448
5984000,0.323058
5986209,23.73797
5988465,7.056526
5990753,7.216592
5991936,0.807436
5992270,58.43068
6023859,27.009878
6024572,0.41491
6025124,26.837724
6025466,1.127801
6026204,2.279815
6028860,0.844033
6029130,12.591632
6029214,0.819066
6034812,0.367307
6041734,24.340024
6042031,0.537104
6042116,5.407158
6042191,43.390923
6042214,27.046234
6042663,30.971769
6044064,5.063207
6044543,0.532086
6045264,0.90931
6046061,0.297256
6047498,1.037445
6048024,62.816
6048106,1.559361
6050116,0.239908
6056992,10.431153
6057829,0.483427
6058614,1.73108
6058875,1.129868
6060580,2.313369
6061139,0.322441
6063448,76.017696
6066379,1.30386
6067735,0.446182
6072195,2.800123
6072578,0.269672
6103049,0.643171
6105491,13.299638
6106771,0.263826
6109688,14.086788
6117415,19.741625
6118779,0.364246
6124941,5.670144
6128027,5.455766
6128141,1.872624
6128248,0.291744
6131659,17.52783
6137704,178.267972
6137885,12.790099
6141791,13.659035
6143826,1.35476
6144827,0.23465
6145939,17.745414
6146838,27.467201
6147122,15.451498
6147573,25.836833
6148271,1.78529
6153219,0.5303
6153672,3.364425
6182019,3.664965
6182849,6.399107
6185717,11.702204
6187341,0.984599
6187893,0.789168
6191574,1.03453
6191945,6.807377
6197038,9.751708
6197319,1.663804
6200709,3.72353
6205460,3.722832
6206751,1.245334
6209347,2.136577
6209824,1.262974
6213131,0.561416
6220470,8.144136
6220497,1.323167
6223646,0.364934
6224853,0.536048
6227560,4.803512
6228703,8.400414
6231401,6.091956
6233466,15.873307
6233903,5.990848
6262882,0.996501
6264091,0.325018
6265720,0.312428
6267702,0.283196
6268648,503.25
6268722,2.638433
6279974,0.805259
